"","ImageNumber","ObjectNumber","BRCA1_Count","rH2AX_Count","Intensity_DAPI","Intensity_BRCA1","MeanIntensity_BRCA1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"589",20,6,0,0,182.70205290243,10.1895476651844,0,0,"FUSClone110","mock","R3"
"590",20,7,1,1,146.856443630531,8.68957054149359,0.0265208741819317,0.0353341726586223,"FUSClone110","mock","R3"
"591",20,8,1,0,208.842100218404,13.3775541265495,0.0227801940403879,0,"FUSClone110","mock","R3"
"592",20,9,7,1,251.192844368285,23.4143284149468,0.0280133348469008,0.0330336023388164,"FUSClone110","mock","R3"
"593",20,10,2,0,205.379843432922,12.3761960312258,0.0234702833695337,0,"FUSClone110","mock","R3"
"594",20,11,10,4,244.163211166393,23.1300375622232,0.0305317899894392,0.0289031306229946,"FUSClone110","mock","R3"
"595",20,12,2,4,243.268223723164,11.325963323703,0.0281660736496137,0.0365232892480551,"FUSClone110","mock","R3"
"596",20,13,1,3,207.620737567777,8.62032510573044,0.0302942450313518,0.0332348323917664,"FUSClone110","mock","R3"
"597",20,14,8,3,227.712078223936,22.6357520858292,0.0286765057663352,0.0372042930374543,"FUSClone110","mock","R3"
"598",20,15,1,2,199.211612790357,7.16163887572475,0.0246414132416248,0.0349033233676372,"FUSClone110","mock","R3"
"599",20,16,2,1,82.147143219132,10.382482734276,0.0254773212072905,0.0328923478722572,"FUSClone110","mock","R3"
"600",20,17,11,10,159.629679393955,23.3588008228689,0.0315012243632792,0.0341744848126,"FUSClone110","mock","R3"
"601",20,18,10,4,263.828229966108,24.1709470450878,0.0323748161901081,0.0327807963275683,"FUSClone110","mock","R3"
"602",20,19,12,3,325.137851004722,35.4942705198191,0.0305103954740507,0.0312564366133351,"FUSClone110","mock","R3"
"603",20,20,3,3,224.609674879583,15.2942246056627,0.02896706530791,0.0463145600390379,"FUSClone110","mock","R3"
"604",20,21,8,9,163.933120256523,24.2467538544443,0.0292434370200063,0.0338112738430975,"FUSClone110","mock","R3"
"605",20,22,15,2,170.019608446164,29.8884567613713,0.0302611807885213,0.0367685208795592,"FUSClone110","mock","R3"
"606",20,23,21,3,239.176730657462,36.8134282154497,0.0270485399659781,0.0288740658925639,"FUSClone110","mock","R3"
"607",20,24,8,1,166.598444163101,20.4202641432639,0.03109502988305,0.0360627912450582,"FUSClone110","mock","R3"
"608",20,25,2,4,202.890562824905,17.8772108145058,0.028712520096451,0.0395911178059703,"FUSClone110","mock","R3"
"609",20,26,1,2,144.692149647046,7.11371028888971,0.0272851656501492,0.0326303597250018,"FUSClone110","mock","R3"
"610",20,27,11,3,174.06364600407,21.2645916210022,0.0281523062835656,0.035466932264408,"FUSClone110","mock","R3"
"611",20,28,15,3,159.858808796853,28.1893341708928,0.0253528313523968,0.0341645969095191,"FUSClone110","mock","R3"
"612",20,29,0,0,101.428199194837,13.4151981088798,0,0,"FUSClone110","mock","R3"
"613",20,30,7,2,206.802930410719,28.5628140382469,0.0242849098127752,0.030480069690384,"FUSClone110","mock","R3"
"614",20,31,9,1,104.656016470632,20.7209431808442,0.0282395837207075,0.0280793749473312,"FUSClone110","mock","R3"
"615",20,32,11,14,100.404547614744,19.6754865455441,0.0290386406566465,0.0290373830648193,"FUSClone110","mock","R3"
"616",20,33,1,1,116.775051987497,11.7257649756502,0.0293446253985167,0.0496375983208418,"FUSClone110","mock","R3"
"617",20,34,3,4,105.019303048262,9.61324492259882,0.0283024478507078,0.0392473949596197,"FUSClone110","mock","R3"
"618",21,1,1,0,143.954314923612,9.95397886820138,0.0188982986146584,0,"FUSClone110","mock","R3"
"619",21,2,16,7,95.1049366833176,26.5378349276725,0.0292911809615572,0.0294568216863797,"FUSClone110","mock","R3"
"620",21,3,37,3,105.204746077303,43.873380987905,0.0248901423736913,0.0231736223601426,"FUSClone110","mock","R3"
"621",21,4,1,1,145.673960968154,12.6597849519458,0.0214827955933288,0.0446871355442064,"FUSClone110","mock","R3"
"622",21,5,15,2,106.748363979859,27.9661404413637,0.028513886696733,0.032328355929699,"FUSClone110","mock","R3"
"623",21,6,27,4,174.482460250845,32.7116963046137,0.0276899686729011,0.0336237581699,"FUSClone110","mock","R3"
"624",21,7,14,2,103.8278939866,26.182513379259,0.0244747201502591,0.0415005517234518,"FUSClone110","mock","R3"
"625",21,8,11,2,113.330602514558,24.2412910866551,0.0278066457709645,0.0337820005264472,"FUSClone110","mock","R3"
"626",21,9,8,1,156.184146225452,17.9379111619201,0.0273710347738362,0.0388389790896326,"FUSClone110","mock","R3"
"627",21,10,2,3,191.788769897306,10.4141909673344,0.035561503721746,0.035591838122518,"FUSClone110","mock","R3"
"628",21,11,24,5,188.588708847528,31.5651333676651,0.0264773131277279,0.0325254606736843,"FUSClone110","mock","R3"
"629",21,12,43,11,161.762951709796,41.2023043555673,0.0292241548336932,0.0349334908160404,"FUSClone110","mock","R3"
"630",21,13,54,6,260.236073054606,53.7362939468585,0.0279426566891917,0.0312553075522658,"FUSClone110","mock","R3"
"631",21,14,35,6,275.78451299225,40.7158163164277,0.0268046777024073,0.0301099558773374,"FUSClone110","mock","R3"
"632",21,15,15,3,132.130617756164,27.1366905714385,0.0258885444804744,0.0384656229227385,"FUSClone110","mock","R3"
"633",21,16,4,4,152.094133417588,16.4852675434668,0.025150480650589,0.0408974262843881,"FUSClone110","mock","R3"
"634",21,17,18,5,326.663325848989,31.568383537,0.0355290780815015,0.0339192363265015,"FUSClone110","mock","R3"
"635",21,18,27,0,295.302022689255,37.4162664152682,0.0237736270624202,0,"FUSClone110","mock","R3"
"636",21,19,4,4,212.19995498145,17.0507974207867,0.0258838406694141,0.0318382100230003,"FUSClone110","mock","R3"
"637",21,20,2,5,298.96200591349,17.4456398943439,0.0220151659127118,0.0314293623682109,"FUSClone110","mock","R3"
"638",21,21,1,3,142.134661288233,8.7905089687556,0.0230811780784279,0.0342750693269424,"FUSClone110","mock","R3"
"639",21,22,3,2,98.9755402754527,18.7410392849706,0.0261347976347489,0.0412558472375027,"FUSClone110","mock","R3"
"640",21,23,18,4,190.382071198663,25.0000001867302,0.0289095005579494,0.0310803836380306,"FUSClone110","mock","R3"
"641",21,24,2,4,183.133944282774,15.4922409199644,0.0315429413380722,0.0370090343041479,"FUSClone110","mock","R3"
"642",21,25,4,2,86.9311364693567,18.6827346023638,0.0251197785556985,0.0244792858914783,"FUSClone110","mock","R3"
"643",21,26,14,2,300.420737945708,34.7875641505234,0.0320153196021877,0.0293223781045526,"FUSClone110","mock","R3"
"644",21,27,1,2,99.701762897661,6.56888690986671,0.0369432660249563,0.043619373679647,"FUSClone110","mock","R3"
