"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"448",14,28,3,5,128.330678879051,3.25308616110124,0.0340965818936304,0.0309502052111544,"FUSClone110","2h","R1"
"449",14,29,4,5,164.790280609159,3.96464486932382,0.0282522880516592,0.0277373159935491,"FUSClone110","2h","R1"
"450",14,30,9,9,121.286763325799,6.03808655473404,0.0303667549091528,0.0312721427332064,"FUSClone110","2h","R1"
"451",15,1,10,6,204.998673263239,5.37979709659703,0.031061598166896,0.0322459955735803,"FUSClone110","2h","R1"
"452",15,2,7,1,151.375464185374,6.0060731258709,0.0335817873022834,0.0273155564209446,"FUSClone110","2h","R1"
"453",15,3,9,1,173.10022184439,5.02581829647534,0.0296309380164928,0.0299820709042251,"FUSClone110","2h","R1"
"454",15,4,7,8,183.336965659866,4.04213018505834,0.0338172624796806,0.0300559871072083,"FUSClone110","2h","R1"
"455",15,5,7,5,224.471565369982,5.18023959314451,0.037195486968379,0.032829300489417,"FUSClone110","2h","R1"
"456",15,6,8,4,225.624598233728,4.31799804791808,0.0338723448171679,0.0277484041845633,"FUSClone110","2h","R1"
"457",15,7,10,13,197.231724055018,4.30713361524977,0.0326159958989315,0.0316677382190131,"FUSClone110","2h","R1"
"458",15,8,15,3,188.039964057039,7.99044789164327,0.0351322792013542,0.0313291533455027,"FUSClone110","2h","R1"
"459",15,9,11,18,164.132921891054,5.08575572492555,0.0323642219398965,0.0344171154824337,"FUSClone110","2h","R1"
"460",15,10,5,5,208.540276826825,2.92370490520261,0.0357164790275847,0.0295245251982858,"FUSClone110","2h","R1"
"461",15,11,9,5,298.643016069429,6.27394525660202,0.034934830957797,0.0271961832324996,"FUSClone110","2h","R1"
"462",15,12,11,4,176.965652586194,5.96134894271381,0.0343962072893375,0.030881650789789,"FUSClone110","2h","R1"
"463",15,13,19,26,244.944991906872,7.62290383921936,0.0335823332225098,0.0367910982108789,"FUSClone110","2h","R1"
"464",15,14,7,1,263.317495171446,4.90383767639287,0.0323065464806166,0.0261387047357857,"FUSClone110","2h","R1"
"465",15,15,16,5,414.385535589419,7.97993444721214,0.0331104389912937,0.027895287022258,"FUSClone110","2h","R1"
"466",15,16,7,3,93.3067983619403,4.47385370265692,0.0335082145042927,0.0276681651603401,"FUSClone110","2h","R1"
"467",15,17,10,35,309.034913501702,6.39816895453259,0.0350740912166245,0.0345573562088268,"FUSClone110","2h","R1"
"468",15,18,10,1,125.861952055013,4.46811629808508,0.0314088400856902,0.0248912796378136,"FUSClone110","2h","R1"
"469",15,19,9,8,190.506539104739,6.70695053855889,0.032209694855789,0.0331795162370112,"FUSClone110","2h","R1"
"470",15,20,13,3,353.352942261612,7.08912799460813,0.0344749054641227,0.0290588930960499,"FUSClone110","2h","R1"
"471",15,21,6,26,242.693569148658,4.60799574945122,0.0343590666915415,0.034248178613319,"FUSClone110","2h","R1"
"472",15,22,9,4,298.180362624349,7.12014958797954,0.0313214529358258,0.0252043218585726,"FUSClone110","2h","R1"
"473",15,23,4,6,111.80862191855,2.44428170099854,0.0320023925354083,0.0298810469604345,"FUSClone110","2h","R1"
"474",15,24,5,6,126.752483942779,4.61815825290978,0.0316860273835205,0.0309460553834236,"FUSClone110","2h","R1"
"475",15,25,8,8,154.071519683814,5.05218589212745,0.0347469751204785,0.0331127770629246,"FUSClone110","2h","R1"
"476",16,1,7,3,158.483971116133,3.35730528086424,0.0269072325800412,0.0293471941297955,"FUSClone110","2h","R1"
"477",16,2,8,2,263.713253308088,6.73304346180521,0.0351795797530074,0.0255639479340365,"FUSClone110","2h","R1"
"478",16,3,0,0,151.601419614861,1.26518655195832,0,0,"FUSClone110","2h","R1"
