,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,Multiple,CDKN1A,FUSClone110,,0.748499841512567,0.0941422652807003,0.0941422652807003,0.0221895447254153,0.0221895447254154,0.650760549118138,0.127016547755071,0.127016547755071,0.0299380874135053,0.0299380874135053,0.650760549118138,0.127016547755071,0.127016547755071,0.0299380874135053,0.0299380874135053,18,19.440067803041,0.181454386127935,0.042769208969035
,Multiple,CDKN1A,GUSClone110,,1.33053408654608,0.124782082210929,0.124782082210929,0.0294114188339752,0.0294114188339752,1.33794540365812,0.171598274864439,0.171598274864439,0.0404461012655194,0.0404461012655194,1.33794540365812,0.171598274864439,0.171598274864439,0.0404461012655194,0.0404461012655194,18,18.6101362481641,0.135300923905546,0.0318907335981389
,Multiple,CDKN1A,GUSU2OS,*,1,0.130965571492391,0.130965571492391,0.0327413928730979,0.0327413928730979,1,0.151907235616711,0.151907235616711,0.0379768089041777,0.0379768089041777,1,0.151907235616711,0.151907235616711,0.0379768089041777,0.0379768089041777,16,19.022141718961,0.188943380519262,0.0472358451298155
,Multiple,EGFR,FUSClone110,,0.507199708949284,0.0406369706226514,0.0406369706226514,0.0165899737863277,0.0165899737863277,0.440969446889126,0.0746996267839583,0.0746996267839583,0.0304959949328396,0.0304959949328396,0.440969446889126,0.0746996267839583,0.0746996267839583,0.0304959949328396,0.0304959949328396,6,22.8299566737685,0.115589096286157,0.0471890509550866
,Multiple,EGFR,GUSClone110,,1.41025297668727,0.0765776282211528,0.0765776282211528,0.0312626858090629,0.0312626858090629,1.41810834253178,0.146020985789306,0.146020985789306,0.0596128178203321,0.0596128178203321,1.41810834253178,0.146020985789306,0.146020985789306,0.0596128178203321,0.0596128178203321,6,21.3546285143745,0.0783392528177554,0.031981866039065
,Multiple,EGFR,GUSU2OS,*,1,0.0660447014449205,0.0660447014449205,0.026962636459085,0.026962636459085,1,0.101418587573141,0.101418587573141,0.0414039649979945,0.0414039649979945,1,0.101418587573141,0.101418587573141,0.0414039649979945,0.0414039649979945,6,21.8505824964848,0.0952823632515789,0.0388988619088139
,Multiple,EIF2A,FUSClone110,,1.36111468963387,0.100426824058576,0.100426824058576,0.0236708294349491,0.0236708294349491,1.18338000052072,0.197026707099093,0.197026707099093,0.0464396402215414,0.0464396402215414,1.18338000052072,0.197026707099093,0.197026707099093,0.0464396402215414,0.0464396402215414,18,24.6775672618599,0.106446049069171,0.0250895743757755
,Multiple,EIF2A,GUSClone110,,2.04552988585833,0.174720980573442,0.174720980573442,0.0411821300596814,0.0411821300596814,2.05692385975162,0.251499791304816,0.251499791304816,0.0592790692995456,0.0592790692995456,2.05692385975162,0.251499791304816,0.251499791304816,0.0592790692995456,0.0592790692995456,18,24.0898812819197,0.123229239501818,0.0290454102973989
,Multiple,EIF2A,GUSU2OS,*,1,0.0841268613655195,0.0841268613655195,0.0198288913838331,0.0198288913838331,1,0.114022612317012,0.114022612317012,0.0268753874593213,0.0268753874593213,1,0.114022612317012,0.114022612317012,0.0268753874593213,0.0268753874593213,18,25.1223558975444,0.121369405697588,0.028607043265782
,Multiple,EPHA6,FUSClone110,,1.03684229248184,0.099582412008962,0.099582412008962,0.0406543494629268,0.0406543494629268,0.901451172308719,0.159994460972149,0.159994460972149,0.0653174651755672,0.0653174651755672,0.901451172308719,0.159994460972149,0.159994460972149,0.0653174651755672,0.0653174651755672,6,14.491595650972,0.13856210631725,0.0565677430270895
