"","ensgene","symbol","entrez","W_1","W_2","W_3","C_1","C_2","C_3","F_1","F_2","F_3","WTvsKOlog2FoldChange","WTvsKOpadj","REvsKOlog2FoldChange","REvsKOpadj","WTvsRElog2FoldChange","WTvsREpadj","WT_KO_sign","RE_KO_sign","diff"
"38","ENSG00000070413","DGCR2",9993,1476.35094063482,1363.98375999959,1572.34366562265,1121.97675807608,1032.30144145578,989.306415964131,1535.53861265534,1471.35627954372,1593.9442994584,0.473535962894124,0.00384046240177427,0.531873530569718,0.00109019068484743,-0.0583375676755944,0.866977263006185,1,1,0
"39","ENSG00000070718","AP3M2",10947,380.579477828482,337.78598545971,415.257318459068,207.525534011685,258.552394301771,284.700401927455,473.165969893143,449.688077583061,530.664442414546,0.554776132471822,0.0129379552611051,0.893834781078107,9.14140716156721e-06,-0.339058648606285,0.189213344783331,1,1,0
"40","ENSG00000072182","ASIC4",55515,33.7992431464016,38.5194544822477,18.7804817393548,4.01662323893584,12.4028823834798,5.49614675535628,57.0200006002307,87.6265847110462,76.0879163756151,1.30107889656586,0.000696467284267105,2.33881208526847,5.83454472311364e-10,-1.03773318870261,0.00826481649581537,1,1,0
"41","ENSG00000072201","LNX1",84708,87.8780321806442,83.9526572048987,74.0785668607885,148.615059840626,117.350348705232,136.304439532836,76.0266674669743,57.7757701391513,51.7007636911231,-0.636567314148549,0.0267381162926345,-1.00216633454253,0.000177122360973165,0.365599020393981,0.322734722353794,-1,-1,0
"42","ENSG00000072274","TFRC",7037,5412.61079746475,4004.04790951364,3589.15873241003,1743.21448569815,1939.61999120111,2015.98662986468,4482.57232788831,3245.07242281567,2500.17089321412,1.08509559587261,5.97063376665902e-06,0.767957444376584,0.00371102397640316,0.317138151496027,0.376354117089814,1,1,0
"43","ENSG00000073146","MOV10L1",54456,22.9834853395531,19.7535664011526,23.997282222509,60.2493485840376,54.3818689121807,59.3583849578478,19.0066668667436,30.813744074214,37.0684720804279,-1.1344032650474,0.00105631458670092,-0.832149891841605,0.0316866983806537,-0.302253373205796,0.59677328593868,-1,-1,0
"44","ENSG00000073792","IGF2BP2",10644,2806.68915087719,2978.83781329382,3020.52747974624,1590.58280261859,1943.43626270372,2089.63499638646,2893.01476729592,3211.36989023449,3227.88352931936,0.62038662036261,0.000297267832929689,0.701027838778398,3.53224579572137e-05,-0.0806412184157889,0.821509130739985,1,1,0
"45","ENSG00000074416","MGLL",11343,1193.11328306798,1236.57325671216,1070.48745914323,2605.44960765638,3115.03161400474,3279.00115424556,923.323869368649,1103.51720965779,821.359302413691,-1.29600414312269,3.77831084537238e-14,-1.57804058741581,1.06977403142674e-20,0.282036444293125,0.278097782256707,-1,-1,0
"46","ENSG00000074527","NTN4",59277,584.05092156982,759.524628124319,808.604074888889,289.19687320338,483.712412955712,513.340106950277,673.236147437812,1019.74234295602,894.520760467167,0.663612116379224,0.0221051861491771,0.904792969845389,0.000891670281337375,-0.241180853466165,0.575376446151113,1,1,0
"47","ENSG00000075043","KCNQ2",3785,64.8945468410911,89.8787271252445,80.3387274405735,46.8606044542514,33.3923756478302,43.9691740428502,201.070528432393,188.734182454561,216.557915838289,0.79846376849941,0.00505639828590779,2.0619713689295,1.5896350444528e-17,-1.26350760043009,7.55534760611851e-08,1,1,0
