UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
P35637,FUS,111,18,16,51,14,10,106,15,13
P21695,GPD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UNE7,STUB1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75190,DNAJB6,NA,NA,NA,NA,NA,NA,NA,NA,NA
P22307,SCP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P79522,PRR3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9GZR7,DDX24,NA,NA,NA,2,2,2,NA,NA,NA
P62380,TBPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92530,PSMF1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13796,SHROOM2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13405,MRPL49,2,2,2,NA,NA,NA,NA,NA,NA
Q16822,PCK2,NA,NA,NA,2,2,2,NA,NA,NA
P29083,GTF2E1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01012,SERPINB14,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94761,RECQL4,3,2,2,NA,NA,NA,2,2,2
O95456,PSMG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H4L7,SMARCAD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6UWL6,KIRREL2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12277,CKB,NA,NA,NA,NA,NA,NA,3,2,2
O75676,RPS6KA4,NA,NA,NA,2,2,2,NA,NA,NA
Q96HQ2,CDKN2AIPNL,5,3,3,4,2,2,5,2,2
Q99986,VRK1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75391,SPAG7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6X9,MORC2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15084,ANKRD28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BYW2,SETD2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IUF8,RIOX2,NA,NA,NA,2,2,2,3,2,2
Q9UEE9,CFDP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15014,MORF4L2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P17706,PTPN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y312,AAR2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13112,CHAF1B,NA,NA,NA,3,2,2,NA,NA,NA
O43739,CYTH3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NQS7,INCENP,3,2,2,7,4,4,NA,NA,NA
Q96B01,RAD51AP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96SI1,KCTD15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5TAP6,UTP14C,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43670,ZNF207,5,2,2,2,2,2,5,2,2
Q9UK61,FAM208A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96LA8,PRMT6,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43709,BUD23,6,5,5,5,2,2,4,3,3
Q06546,GABPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BRD0,BUD13,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62308,SNRPG,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y324,FCF1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P45973,CBX5,NA,NA,NA,2,2,2,NA,NA,NA
Q9UKL0,RCOR1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BW71,HIRIP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96N46,TTC14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NQB0,TCF7L2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96FV9,THOC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H2D6,TRIOBP,NA,NA,NA,3,2,2,NA,NA,NA
Q9BT25,HAUS8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8NEM0,MCPH1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q12872,SFSWAP,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IUH3,RBM45,13,6,6,4,2,2,9,6,6
O75925,PIAS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BU76,MMTAG2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5SY16,NOL9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96L50,LRR1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96P16,RPRD1A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UNW9,NOVA2,8,5,5,3,2,2,11,7,7
P51003,PAPOLA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H7N4,SCAF1,3,3,3,4,2,2,5,3,3
P62314,SNRPD1,19,6,6,16,5,5,22,6,6
Q9UIS9,MBD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14602|P47813,EIF1AY|EIF1AX,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8TF76,HASPIN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HBI0,PARVG,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UPT8,ZC3H4,13,7,7,10,6,6,19,10,10
Q9NZM5,NOP53,4,4,4,7,3,3,NA,NA,NA
Q9H6W3,RIOX1,NA,NA,NA,2,2,2,NA,NA,NA
O96028,NSD2,NA,NA,NA,5,3,3,NA,NA,NA
Q14011,CIRBP,10,5,5,11,5,5,9,5,5
Q6UWW8,CES3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6P9B9,INTS5,NA,NA,NA,NA,NA,NA,2,2,2
Q92576,PHF3,3,3,3,2,2,2,8,5,5
Q9UNP9,PPIE,3,2,2,NA,NA,NA,NA,NA,NA
Q14781,CBX2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42695,NCAPD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HCJ3,RAVER2,4,3,3,NA,NA,NA,4,3,3
P62306,SNRPF,NA,NA,NA,NA,NA,NA,6,3,3
O43502,RAD51C,NA,NA,NA,NA,NA,NA,NA,NA,NA
P23025,XPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P63162,SNRPN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9GZS1,POLR1E,NA,NA,NA,NA,NA,NA,5,3,3
P14678,SNRPB,17,6,6,14,6,6,19,7,7
Q96BZ8,LENG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N6N3,C1orf52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HCS7,XAB2,15,12,12,5,3,3,3,3,3
Q9BUA3,C11orf84,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62304,SNRPE,9,4,4,12,3,3,15,4,4
Q9H7L9,SUDS3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y5Q8,GTF3C5,2,2,2,NA,NA,NA,NA,NA,NA
Q1KMD3,HNRNPUL2,32,16,16,25,12,12,54,23,23
Q9UH99,SUN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13268,DHRS2,8,5,5,16,7,7,7,5,5
P18858,LIG1,NA,NA,NA,4,4,4,6,3,3
Q9Y606,PUS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5TDH0,DDI2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08621,SNRNP70,54,20,20,39,17,17,71,20,20
Q9H8G2,CAAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UBE0,SAE1,NA,NA,NA,3,2,2,NA,NA,NA
O00422,SAP18,11,8,8,11,8,8,13,7,7
Q99549,MPHOSPH8,6,4,4,NA,NA,NA,3,2,2
O15446,CD3EAP,2,2,2,NA,NA,NA,NA,NA,NA
P63208,SKP1,2,2,2,NA,NA,NA,3,2,2
Q9H4Z3,PCIF1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H875,PRKRIP1,NA,NA,NA,NA,NA,NA,4,2,2
Q6PL18,ATAD2,12,9,9,27,14,14,3,2,2
Q9ULI0,ATAD2B,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06132,UROD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UPP1,PHF8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7LBC6,KDM3B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6SPF0,SAMD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96QD9,FYTTD1,4,3,3,NA,NA,NA,5,3,3
Q9HCG8,CWC22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IVF2,AHNAK2,NA,NA,NA,17,12,12,NA,NA,NA
Q8WVV9,HNRNPLL,13,5,5,2,2,1,17,8,7
P62191,PSMC1,3,2,2,7,4,2,2,2,2
O75525,KHDRBS3,15,9,6,14,6,5,21,9,7
Q5BKZ1,ZNF326,30,15,15,19,11,11,38,14,14
A2A3N6|Q99755,PIPSL|PIP5K1A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P43243,MATR3,114,35,35,101,34,34,176,41,41
Q86UV5,USP48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96JH7,VCPIP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P67870,CSNK2B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8TED0,UTP15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UQ13,SHOC2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86U38,NOP9,4,4,4,NA,NA,NA,5,3,3
Q96TA2,YME1L1,NA,NA,NA,2,2,2,NA,NA,NA
P16401,HIST1H1B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7Z6E9,RBBP6,5,5,5,5,4,4,7,5,5
P17028,ZNF24,NA,NA,NA,NA,NA,NA,NA,NA,NA
P57076,C21orf59,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43638,FOXS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BQ39,DDX50,30,18,16,16,10,7,28,15,12
O43159,RRP8,NA,NA,NA,3,2,2,NA,NA,NA
P52272,HNRNPM,342,43,43,218,49,49,335,48,48
Q99715,COL12A1,NA,NA,NA,4,3,3,NA,NA,NA
Q6PIY7,PAPD4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N5F7,NKAP,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P2K5,MYEF2,12,8,8,4,3,3,17,11,11
Q2TBE0,CWF19L2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y4B4,RAD54L2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14893,GEMIN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y3D8,AK6,NA,NA,NA,NA,NA,NA,2,2,2
Q13242,SRSF9,47,17,16,28,10,9,62,14,13
Q8WWQ0,PHIP,NA,NA,NA,5,5,5,NA,NA,NA
Q8N0T1,C8orf59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5GLZ8,HERC4,NA,NA,NA,NA,NA,NA,NA,NA,NA
P51991,HNRNPA3,98,26,25,89,20,19,182,23,22
O75494,SRSF10,18,9,9,16,6,6,33,11,11
Q96E14,RMI2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q16763,UBE2S,NA,NA,NA,3,2,2,NA,NA,NA
Q92759,GTF2H4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9ULR0,ISY1,3,3,3,NA,NA,NA,NA,NA,NA
Q8WXA9,SREK1,11,5,5,NA,NA,NA,8,5,5
P62318,SNRPD3,11,3,3,7,3,3,10,2,2
Q01995,TAGLN,4,3,3,15,7,7,9,6,6
Q9BSV6,TSEN34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96T60,PNKP,4,2,2,5,3,3,6,4,4
Q7L4I2,RSRC2,6,4,4,4,2,2,6,4,4
Q96MG7,NSMCE3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IZ83,ALDH16A1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UJA5,TRMT6,NA,NA,NA,3,2,2,4,3,3
Q5RKV6,EXOSC6,3,3,3,NA,NA,NA,NA,NA,NA
Q8N3P4,VPS8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y580,RBM7,5,4,4,3,3,3,10,5,5
Q9NPE3,NOP10,NA,NA,NA,3,2,2,NA,NA,NA
P31942,HNRNPH3,74,12,12,58,18,18,84,16,16
O60341,KDM1A,NA,NA,NA,3,2,2,3,3,3
O00712,NFIB,NA,NA,NA,NA,NA,NA,3,2,2
Q96G46,DUS3L,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y450,HBS1L,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96DF8,ESS2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H6E5,TUT1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BXY0,MAK16,NA,NA,NA,3,3,3,NA,NA,NA
Q96FC9,DDX11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96EY4,TMA16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NWS0,PIH1D1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXF0,SRSF12,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43592,XPOT,NA,NA,NA,NA,NA,NA,3,2,2
P30414,NKTR,4,3,3,NA,NA,NA,NA,NA,NA
Q9NSI2,FAM207A,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75151,PHF2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96MU7,YTHDC1,9,7,7,5,3,3,10,6,6
Q8WYP5,AHCTF1,2,2,2,18,11,11,NA,NA,NA
Q9Y3Y2,CHTOP,11,6,6,7,5,5,8,4,4
Q9BRT9,GINS4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86U42,PABPN1,4,3,3,NA,NA,NA,12,6,6
Q9H0D6,XRN2,84,36,36,47,24,24,81,32,31
Q9BY77,POLDIP3,17,9,9,20,10,10,20,8,8
Q9P258,RCC2,24,12,12,27,12,12,36,14,14
P17676,CEBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62316,SNRPD2,19,9,9,9,5,5,17,6,6
P98179,RBM3,24,5,5,25,6,6,33,6,6
Q13151,HNRNPA0,40,16,15,38,15,14,60,15,14
Q13620,CUL4B,NA,NA,NA,NA,NA,NA,3,2,2
Q9Y2R4,DDX52,4,4,3,4,3,3,4,3,3
Q8N7H5,PAF1,2,2,2,5,3,3,3,2,2
Q99729,HNRNPAB,71,15,15,43,15,15,41,12,12
P52306,RAP1GDS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96AK3,APOBEC3D,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q53GS9,USP39,7,6,6,3,2,2,14,7,7
Q9Y6A4,CFAP20,NA,NA,NA,NA,NA,NA,3,2,2
Q8WVK2,SNRNP27,3,2,2,3,2,2,NA,NA,NA
Q9UBU8,MORF4L1,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NHQ2,FBLL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0DMU9,CT45A10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9ULW3,ABT1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13309,SKP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6PK04,CCDC137,3,2,2,4,2,2,NA,NA,NA
Q9NX58,LYAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86W42,THOC6,3,2,2,NA,NA,NA,3,2,2
Q86U06,RBM23,NA,NA,NA,NA,NA,NA,NA,NA,NA
P18887,XRCC1,5,3,3,5,3,3,6,3,3
Q9UKM9,RALY,34,16,16,48,21,21,57,19,19
P42696,RBM34,3,3,3,4,3,3,2,2,2
Q96A72,MAGOHB,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UKA9,PTBP2,18,8,6,6,3,2,25,9,8
P25490|Q96MM3,YY1|ZFP42,NA,NA,NA,NA,NA,NA,NA,NA,NA
P30622,CLIP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q70Z53,FRA10AC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92804,TAF15,22,8,6,14,6,2,19,5,3
Q9BXR0,QTRT1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O60684,KPNA6,5,3,3,NA,NA,NA,3,2,2
Q8WUQ7,CACTIN,NA,NA,NA,NA,NA,NA,3,2,2
Q13838,DDX39B,23,11,4,31,12,12,36,11,4
Q03188,CENPC,NA,NA,NA,5,4,4,NA,NA,NA
O60812,HNRNPCL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P57723,PCBP4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NYV4,CDK12,2,2,2,6,3,2,8,4,3
P62995,TRA2B,24,10,9,17,8,8,34,9,9
Q8N2M8,CLASRP,3,2,2,NA,NA,NA,NA,NA,NA
Q8NI27,THOC2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15102,PAFAH1B3,NA,NA,NA,2,2,2,NA,NA,NA
Q9H2W6,MRPL46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2M389,WASHC4,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NHR9,SMCHD1,17,12,12,16,11,11,24,15,15
P23443,RPS6KB1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96PZ2,FAM111A,NA,NA,NA,2,2,2,NA,NA,NA
Q14684,RRP1B,4,2,2,3,3,3,NA,NA,NA
Q9NQT5,EXOSC3,NA,NA,NA,4,2,2,NA,NA,NA
P61978,HNRNPK,186,29,29,139,30,30,228,28,28
Q8N5C6,SRBD1,6,4,4,NA,NA,NA,NA,NA,NA
Q9UNQ2,DIMT1,4,3,3,5,2,2,5,3,3
O75554,WBP4,NA,NA,NA,3,3,3,NA,NA,NA
Q02040,AKAP17A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7L2J0,MEPCE,3,2,2,4,3,3,4,4,4
O14562,UBFD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P61326,MAGOH,13,6,6,6,3,3,9,4,4
Q99633,PRPF18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13564,NAE1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H7S9,ZNF703,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q07955,SRSF1,64,17,16,63,18,17,103,18,17
P02668,CSN3,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43148,RNMT,20,12,12,15,9,9,25,12,12
Q9NQ29,LUC7L,17,10,6,15,7,3,21,10,6
Q8N3F8,MICALL1,NA,NA,NA,2,2,2,NA,NA,NA
Q96CP2,FLYWCH2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UKF6,CPSF3,28,14,14,13,9,9,27,15,15
P26599,PTBP1,59,24,18,62,25,24,81,23,19
Q9P0U3,SENP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BRX5,GINS3,NA,NA,NA,4,2,2,3,2,2
O75526,RBMXL2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43172,PRPF4,20,11,11,20,11,11,14,8,8
Q9Y3T9,NOC2L,10,6,6,8,5,5,3,3,3
P07910,HNRNPC,141,22,22,88,16,16,174,24,24
Q13435,SF3B2,90,36,36,71,31,31,91,35,35
Q96E39,RBMXL1,97,25,6,58,22,6,97,23,7
P18583,SON,21,16,16,14,8,8,25,15,15
P23381,WARS,NA,NA,NA,4,3,3,NA,NA,NA
O00148,DDX39A,18,10,3,NA,NA,NA,28,9,2
Q9UL15,BAG5,NA,NA,NA,NA,NA,NA,NA,NA,NA
P51398,DAP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NVN8,GNL3L,NA,NA,NA,NA,NA,NA,NA,NA,NA
P35244,RPA3,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75475,PSIP1,11,7,6,11,7,5,8,4,3
P57772,EEFSEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N8A6,DDX51,4,3,3,NA,NA,NA,NA,NA,NA
P09234,SNRPC,8,2,2,4,2,2,11,4,4
Q9NU22,MDN1,NA,NA,NA,NA,NA,NA,2,2,2
O75717,WDHD1,6,3,3,8,6,6,6,3,3
Q9BSC4,NOL10,NA,NA,NA,4,3,3,7,4,4
Q9BUQ8,DDX23,27,20,20,14,9,9,26,15,15
P14866,HNRNPL,89,18,18,62,18,18,92,19,19
Q12874,SF3A3,28,14,14,20,11,11,20,9,9
Q14498,RBM39,35,16,16,18,10,10,35,12,12
P62877,RBX1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P14373,TRIM27,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75817,POP7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IWZ8,SUGP1,4,3,3,2,2,2,5,4,4
O60306,AQR,8,5,5,2,2,2,14,9,9
Q05519,SRSF11,22,7,7,13,5,5,19,6,6
Q86UE8,TLK2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6P6C2,ALKBH5,6,3,3,NA,NA,NA,2,2,2
Q5VWX1,KHDRBS2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92665,MRPS31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WUD4,CCDC12,NA,NA,NA,NA,NA,NA,4,3,3
Q9BWF3,RBM4,20,13,2,17,8,8,26,12,12
Q15424,SAFB,34,19,11,26,15,10,31,16,12
Q9Y4E8,USP15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99590,SCAF11,3,2,2,NA,NA,NA,8,5,5
P84090,ERH,9,5,5,9,5,5,5,3,3
Q9BQ75,CMSS1,3,2,2,10,4,4,6,4,4
P09012,SNRPA,18,7,5,12,8,6,21,8,6
Q8IWI9,MGA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P30041,PRDX6,7,4,4,6,4,4,8,4,4
Q00839,HNRNPU,171,38,38,140,37,37,165,37,37
Q6PIW4,FIGNL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15813,TBCE,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75940,SMNDC1,4,4,4,4,2,2,7,4,4
Q96MX3,ZNF48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96GM8,TOE1,6,3,3,5,3,3,7,4,4
Q8TBF4,ZCRB1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N954,GPATCH11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BW85,CCDC94,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UGY1,NOL12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BQ04,RBM4B,19,13,2,NA,NA,NA,NA,NA,NA
Q8N9E0,FAM133A,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14776,TCERG1,23,17,17,13,7,7,47,24,24
Q9H6R0,DHX33,NA,NA,NA,2,2,2,NA,NA,NA
O75400,PRPF40A,26,13,13,6,4,4,21,11,11
Q15004,PCLAF,2,2,2,3,2,2,2,2,2
Q96T37,RBM15,32,17,16,9,6,6,27,14,12
Q6IN85,PPP4R3A,NA,NA,NA,NA,NA,NA,5,3,3
Q96B26,EXOSC8,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95926,SYF2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43390,HNRNPR,129,35,29,94,25,19,139,27,23
P38159,RBMX,130,33,14,102,30,14,140,31,15
Q16637,SMN1,6,3,3,NA,NA,NA,NA,NA,NA
Q8NAV1,PRPF38A,6,3,3,NA,NA,NA,5,2,2
Q9UKN7,MYO15A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7Z6I8,C5orf24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H0L4,CSTF2T,26,12,7,26,12,4,27,11,3
Q13107,USP4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13148,TARDBP,32,11,11,28,13,13,45,11,11
Q53HL2,CDCA8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P021,CRIPT,4,2,2,NA,NA,NA,NA,NA,NA
P52298,NCBP2,5,3,3,4,2,2,3,2,2
Q9UJV9,DDX41,NA,NA,NA,NA,NA,NA,5,4,4
Q92841,DDX17,115,38,33,87,36,28,127,32,27
Q13523,PRPF4B,23,13,13,7,5,5,9,7,7
Q8IX18,DHX40,3,2,2,NA,NA,NA,5,3,3
Q9BVP2,GNL3,9,6,6,9,5,5,4,4,4
P25691,,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75909,CCNK,2,2,2,NA,NA,NA,NA,NA,NA
Q9ULV3,CIZ1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31943,HNRNPH1,150,18,10,79,15,7,208,14,6
O75832,PSMD10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9ULC4,MCTS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13247,SRSF6,24,12,8,19,9,6,33,11,7
Q9NW82,WDR70,7,5,5,3,2,2,7,4,4
P49760,CLK2,4,3,3,NA,NA,NA,NA,NA,NA
Q96GK7,FAHD2A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96FQ6,S100A16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BWJ5,SF3B5,3,3,3,NA,NA,NA,7,3,3
Q7L5D6,GET4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WTT2,NOC3L,4,3,3,14,7,7,3,2,2
P13807,GYS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WYA6,CTNNBL1,9,5,5,3,3,3,10,7,7
Q13243,SRSF5,15,5,4,15,7,6,16,6,5
Q96CN7,ISOC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43156,TTI1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q00005|Q66LE6,PPP2R2B|PPP2R2D,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UER7,DAXX,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7Z5K2,WAPL,2,2,2,3,2,2,5,3,3
O95251,KAT7,3,2,2,NA,NA,NA,2,2,2
Q86Y91,KIF18B,2,2,2,NA,NA,NA,NA,NA,NA
Q9H7E9,C8orf33,NA,NA,NA,3,2,2,NA,NA,NA
P02662,CSN1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NWB6,ARGLU1,9,5,5,NA,NA,NA,4,3,3
Q8IU81,IRF2BP1,3,2,2,NA,NA,NA,NA,NA,NA
Q9Y2U8,LEMD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6ZUT1,NKAPD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52597,HNRNPF,91,20,18,58,14,12,137,14,12
Q8IXM3,MRPL41,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IYB3,SRRM1,13,6,6,8,4,4,13,5,5
Q99622,C12orf57,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q12802,AKAP13,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75792,RNASEH2A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BXP5,SRRT,39,22,22,22,11,11,49,23,23
Q8N163,CCAR2,50,25,25,28,15,15,56,22,22
Q9BVC5,C2orf49,3,2,2,3,2,2,4,4,4
Q8N5L8,RPP25L,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13573,SNW1,40,22,22,33,16,16,37,19,19
Q9UHR5,SAP30BP,NA,NA,NA,3,2,2,NA,NA,NA
Q92797,SYMPK,30,18,18,7,4,4,41,18,18
