UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
P02786,TFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA
P16615,ATP2A2,4,4,4,5,3,3,NA,NA,NA
Q9Y2Q3,GSTK1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52735,VAV2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14247,CTTN,NA,NA,NA,16,9,9,7,5,5
P48634,PRRC2A,7,5,5,12,8,7,NA,NA,NA
Q7Z739,YTHDF3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7Z2W4,ZC3HAV1,NA,NA,NA,6,4,4,NA,NA,NA
Q9BUN8,DERL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HC36,MRM3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IY33,MICALL2,NA,NA,NA,2,2,2,NA,NA,NA
Q9Y3X0,CCDC9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NSE4,IARS2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N6T3,ARFGAP1,2,2,2,9,4,4,NA,NA,NA
Q86X83,COMMD2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H7E2,TDRD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y4W2,LAS1L,3,2,2,4,2,2,NA,NA,NA
Q658Y4,FAM91A1,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0B4J2D9|P0DP09,IGKV1D-13|IGKV1-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13322,GRB10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13501,SQSTM1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50570,DNM2,NA,NA,NA,6,4,4,NA,NA,NA
P84095,RHOG,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1X283,SH3PXD2B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H444,CHMP4B,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05023,ATP1A1,NA,NA,NA,9,5,5,NA,NA,NA
Q8WUM4,PDCD6IP,2,2,2,32,16,16,7,6,6
Q93008,USP9X,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0C0L5,C4B,NA,NA,NA,NA,NA,NA,NA,NA,NA
P51532,SMARCA4,23,16,16,11,7,7,20,12,8
Q14126,DSG2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q3MHD2,LSM12.00,NA,NA,NA,4,2,2,NA,NA,NA
Q99640,PKMYT1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6A5,TACC3,NA,NA,NA,3,2,2,NA,NA,NA
Q06203,PPAT,NA,NA,NA,2,2,2,NA,NA,NA
Q9NVI7,ATAD3A,5,4,4,4,4,4,NA,NA,NA
Q96IF1,AJUBA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12883,MYH7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86VY4,TSPYL5,3,2,2,3,2,2,NA,NA,NA
Q9H361,PABPC3,NA,NA,NA,NA,NA,NA,NA,NA,NA
P53990,IST1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y679,AUP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96DU9,PABPC5,NA,NA,NA,NA,NA,NA,NA,NA,NA
P35606,COPB2,NA,NA,NA,8,5,5,5,4,4
P61626,LYZ,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05209,PTPN12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q00169,PITPNA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49755,TMED10,NA,NA,NA,NA,NA,NA,NA,NA,NA
P80303,NUCB2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95425,SVIL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15075,EEA1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q969G3,SMARCE1,10,4,4,7,4,4,10,4,4
O14983,ATP2A1,NA,NA,NA,NA,NA,NA,3,3,3
Q96IJ6,GMPPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5JQF8,PABPC1L2A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P11940,PABPC1,31,16,9,54,22,14,41,19,12
O76094,SRP72,8,5,5,5,5,5,NA,NA,NA
Q96CV9,OPTN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96HC4,PDLIM5,NA,NA,NA,10,5,5,NA,NA,NA
Q9NRW7,VPS45,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15550,KDM6A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N4B1,FAM109A,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15269,SPTLC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5JTD0,TJAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P11217,PYGM,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q4VXU2,PABPC1L,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5D8V6,VPS37C,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0DJD0|P0DJD1,RGPD1|RGPD2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6XE24,RBMS3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IWR0,ZC3H7A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P43034,PAFAH1B1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q00587,CDC42EP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q00653,NFKB2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75439,PMPCB,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92597,NDRG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q70J99,UNC13D,NA,NA,NA,3,2,2,NA,NA,NA
Q9Y4I1,MYO5A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P57737,CORO7,NA,NA,NA,3,2,2,NA,NA,NA
Q15907,RAB11B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P2D3,HEATR5B,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43318,MAP3K7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WZ42,TTN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99497,PARK7,NA,NA,NA,NA,NA,NA,NA,NA,NA
P29558,RBMS1,2,2,2,2,2,2,NA,NA,NA
Q13733,ATP1A4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86VI3,IQGAP3,NA,NA,NA,12,7,6,NA,NA,NA
P41240,CSK,NA,NA,NA,5,3,3,NA,NA,NA
Q8TB37,NUBPL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13492,PICALM,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05976,MYL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15305,PMM2,NA,NA,NA,NA,NA,NA,4,2,2
Q71F23,CENPU,NA,NA,NA,NA,NA,NA,NA,NA,NA
O00186,STXBP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14344,GNA13,NA,NA,NA,2,2,1,NA,NA,NA
P02511,CRYAB,NA,NA,NA,9,6,6,3,2,2
P56134,ATP5J2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5T5P2,KIAA1217,NA,NA,NA,2,2,2,NA,NA,NA
Q96SU4,OSBPL9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q93084,ATP2A3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H5X1,FAM96A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P19022,CDH2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96ED9,HOOK2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WVT3,TRAPPC12,NA,NA,NA,NA,NA,NA,NA,NA,NA
P69905,HBA1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HCK5,AGO4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99816,TSG101,3,2,2,NA,NA,NA,NA,NA,NA
Q9NNW5,WDR6,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49257,LMAN1,NA,NA,NA,6,4,3,5,3,3
Q9BTX1,NDC1,NA,NA,NA,2,2,2,NA,NA,NA
Q9H987,SYNPO2L,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UHW9,SLC12A6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05193,DNM1,NA,NA,NA,NA,NA,NA,3,2,2
P48059,LIMS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8ND30,PPFIBP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15477,SKIV2L,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7Z3C6,ATG9A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96GM5,SMARCD1,NA,NA,NA,NA,NA,NA,3,2,2
P19838,NFKB1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15434,RBMS2,NA,NA,NA,NA,NA,NA,4,2,2
Q8TF42,UBASH3B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5T6F2,UBAP2,NA,NA,NA,10,6,6,NA,NA,NA
Q8NC96,NECAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99704,DOK1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05655,PRKCD,NA,NA,NA,NA,NA,NA,NA,NA,NA
P18085,ARF4,NA,NA,NA,3,3,2,6,4,3
P19474,TRIM21,NA,NA,NA,NA,NA,NA,NA,NA,NA
